sample_id,season,event,driver,stint,lap,horizon,current_D,generated_target,raw_dataset_target,difference,status
2024_014,2024,Dutch Grand Prix,RUS,3,61,+3,0.155,1.3963,1.3963,0.0,PASS
2024_014,2024,Dutch Grand Prix,RUS,3,61,+5,0.155,1.3963,1.3963,0.0,PASS
2024_014,2024,Dutch Grand Prix,RUS,3,61,+10,0.155,1.3963,1.3963,0.0,PASS
2024_015,2024,Spanish Grand Prix,GAS,2,23,+1,0.5815,0.5815,0.5815,0.0,PASS
2024_015,2024,Spanish Grand Prix,GAS,2,23,+3,0.5815,0.7505,0.7505,0.0,PASS
2024_015,2024,Spanish Grand Prix,GAS,2,23,+5,0.5815,1.8365,1.8365,0.0,PASS
2024_015,2024,Spanish Grand Prix,GAS,2,23,+10,0.5815,1.8365,1.8365,0.0,PASS
2024_016,2024,Japanese Grand Prix,RUS,3,29,+1,2.3229,2.3229,2.3229,0.0,PASS
2024_016,2024,Japanese Grand Prix,RUS,3,29,+3,2.3229,2.3229,2.3229,0.0,PASS
2024_016,2024,Japanese Grand Prix,RUS,3,29,+5,2.3229,2.3229,2.3229,0.0,PASS
2024_016,2024,Japanese Grand Prix,RUS,3,29,+10,2.3229,NaN,NaN,0.0,PASS
2024_017,2024,Italian Grand Prix,LEC,1,10,+1,0.0,0.1236,0.1236,0.0,PASS
2024_017,2024,Italian Grand Prix,LEC,1,10,+3,0.0,0.9374,0.9374,0.0,PASS
2024_017,2024,Italian Grand Prix,LEC,1,10,+5,0.0,5.7312,5.7312,0.0,PASS
2024_017,2024,Italian Grand Prix,LEC,1,10,+10,0.0,NaN,NaN,0.0,PASS
2024_018,2024,Canadian Grand Prix,ZHO,4,58,+1,0.0,0.0,0.0,0.0,PASS
2024_018,2024,Canadian Grand Prix,ZHO,4,58,+3,0.0,0.0,0.0,0.0,PASS
2024_018,2024,Canadian Grand Prix,ZHO,4,58,+5,0.0,0.0,0.0,0.0,PASS
2024_018,2024,Canadian Grand Prix,ZHO,4,58,+10,0.0,0.0,0.0,0.0,PASS
2024_019,2024,Bahrain Grand Prix,NOR,2,17,+1,0.0,0.0,0.0,0.0,PASS
2024_019,2024,Bahrain Grand Prix,NOR,2,17,+3,0.0,0.0,0.0,0.0,PASS
2024_019,2024,Bahrain Grand Prix,NOR,2,17,+5,0.0,0.1141,0.1141,0.0,PASS
2024_019,2024,Bahrain Grand Prix,NOR,2,17,+10,0.0,0.4761,0.4761,0.0,PASS
2024_020,2024,Italian Grand Prix,MAG,2,15,+1,0.0,0.0,0.0,0.0,PASS
2024_020,2024,Italian Grand Prix,MAG,2,15,+3,0.0,1.4758,1.4758,0.0,PASS
2024_020,2024,Italian Grand Prix,MAG,2,15,+5,0.0,1.4758,1.4758,0.0,PASS
2024_020,2024,Italian Grand Prix,MAG,2,15,+10,0.0,1.4758,1.4758,0.0,PASS
2024_021,2024,Japanese Grand Prix,RUS,4,50,+1,2.4102,2.4102,2.4102,0.0,PASS
2024_021,2024,Japanese Grand Prix,RUS,4,50,+3,2.4102,2.4102,2.4102,0.0,PASS
