horizon,event,driver,stint,lap,compound,tyre_life,current_D,predicted,actual,abs_error
+3,Canadian Grand Prix,RUS,2,39,HARD,27.0,0.7537,1.1116,17.4852,16.3736
+1,Canadian Grand Prix,ALO,1,14,MEDIUM,18.0,2.2745,2.5785,18.919,16.3405
+3,Monaco Grand Prix,HAM,2,53,HARD,36.0,3.0735,3.4123,19.7464,16.3341
+5,Monaco Grand Prix,HAM,2,51,HARD,34.0,3.0735,3.4827,19.7464,16.2637
+10,Canadian Grand Prix,OCO,1,46,HARD,46.0,1.7672,2.3132,18.5587,16.2455
+1,Monaco Grand Prix,COL,2,25,MEDIUM,19.0,3.6752,3.9919,20.2177,16.2258
+10,Canadian Grand Prix,RUS,2,32,HARD,20.0,0.4487,1.2889,17.4852,16.1963
+3,Canadian Grand Prix,ANT,1,11,MEDIUM,17.0,0.1565,0.7658,16.9145,16.1487
+1,Australian Grand Prix,LAW,5,43,MEDIUM,10.0,0.0,0.198,16.3314,16.133399999999998
+3,Monaco Grand Prix,SAI,2,50,MEDIUM,2.0,0.0,0.5525,16.6753,16.1228
+10,Monaco Grand Prix,RUS,2,55,MEDIUM,2.0,0.0,1.4497,17.5705,16.1208
+10,Monaco Grand Prix,RUS,2,54,MEDIUM,1.0,0.0,1.4634,17.5705,16.1071
+10,Monaco Grand Prix,HAM,2,46,HARD,29.0,3.0735,3.6561,19.7464,16.090300000000003
+10,Canadian Grand Prix,BEA,1,8,MEDIUM,8.0,0.0,1.6414,17.7205,16.0791
+5,Canadian Grand Prix,HUL,1,14,MEDIUM,14.0,0.1315,1.0055,17.075,16.069499999999998
+10,Canadian Grand Prix,COL,1,4,MEDIUM,9.0,0.0,1.6571,17.7145,16.0574
+3,Canadian Grand Prix,ALO,2,46,HARD,32.0,1.2682,1.5847,17.6377,16.052999999999997
+5,Canadian Grand Prix,NOR,2,42,MEDIUM,13.0,0.0215,0.7786,16.8315,16.052899999999998
+1,Canadian Grand Prix,SAI,1,56,HARD,56.0,2.1482,2.3277,18.3687,16.041
+5,Canadian Grand Prix,ANT,1,9,MEDIUM,15.0,0.0,0.8867,16.9145,16.0278
+10,Monaco Grand Prix,VER,2,67,MEDIUM,39.0,3.1312,3.9606,19.9824,16.0218
+5,Canadian Grand Prix,SAI,1,52,HARD,52.0,2.0897,2.3914,18.3687,15.9773
+3,Canadian Grand Prix,SAI,1,54,HARD,54.0,2.0897,2.3927,18.3687,15.976
+1,Monaco Grand Prix,HAD,2,18,SOFT,7.0,0.8506,1.0987,17.0725,15.9738
+5,Canadian Grand Prix,ALO,2,44,HARD,30.0,1.2682,1.7051,17.6377,15.932599999999999
+3,Monaco Grand Prix,COL,2,23,MEDIUM,17.0,3.6752,4.3286,20.2177,15.889100000000001
+10,Canadian Grand Prix,LEC,2,41,HARD,13.0,0.0,0.9993,16.8862,15.886899999999999
+3,Canadian Grand Prix,VER,1,9,MEDIUM,12.0,0.736,1.3708,17.2415,15.8707
+1,Canadian Grand Prix,VER,1,11,MEDIUM,14.0,1.07,1.372,17.2415,15.869499999999999
+5,Canadian Grand Prix,VER,1,7,MEDIUM,10.0,0.469,1.3749,17.2415,15.866599999999998
+3,Canadian Grand Prix,HUL,1,16,MEDIUM,16.0,0.6415,1.2484,17.075,15.8266
+10,Canadian Grand Prix,VER,2,27,HARD,15.0,0.1077,1.0561,16.8297,15.773599999999998
+10,Canadian Grand Prix,SAI,1,46,HARD,46.0,2.0897,2.6358,18.3687,15.7329
+10,Canadian Grand Prix,ALO,2,39,HARD,25.0,1.2682,1.9542,17.6377,15.683499999999999
+5,Canadian Grand Prix,LAW,1,33,HARD,34.0,0.8477,1.3085,16.9917,15.683200000000001
+5,Monaco Grand Prix,COL,2,21,MEDIUM,15.0,3.6752,4.5489,20.2177,15.668800000000001
+10,Canadian Grand Prix,VER,1,2,MEDIUM,5.0,0.0,1.7207,17.2415,15.520799999999998
+10,Canadian Grand Prix,HUL,1,9,MEDIUM,9.0,0.0,1.622,17.075,15.453
+10,Canadian Grand Prix,LAW,1,28,HARD,29.0,0.8477,1.5664,16.9917,15.425300000000002
